"단풍길종류","연번","자치구(사업소)","구분","노선명(구간)","수종","수량(그루)","연장(km)","특징(선정사유)","비고(문의처)"
"물을 따라 걷는 단풍길","21","성동구/광진구","하천변","송정제방길 (성동초~장평교)","왕벚나무, 은행나무","5000","4.7","중랑천 제방길로 하천경관과 울창한 수림대의 갖가지 색깔의 단풍을 볼 수 있음","성동구 공원녹지과 (2286-5666), 광진구 공원녹지과 (450-7782)"
"물을 따라 걷는 단풍길","22","성동구","가로","살곶이길 (고산자교~성동교)","은행나무, 회화나무","671","2.9","청계천을 따라 중랑천까지 이르는 제방연 도로로 은행나무 단풍이 수려함","공원녹지과 (2286-5666)"
"물을 따라 걷는 단풍길","23","성동구","하천변","응봉지구 (살곶이다리~왕십교)","왕벚나무, 단풍나무","380","1.5","중랑천을 따라 왕벚나무, 단풍나무 등 수목이 다양한 단풍을 보여주며, 응봉교 왕십교 하부에 쉼터 조성하여 쾌적한 환경에서 가을 만끽할 수 있음","공원녹지과 (2286-5666)"
"물을 따라 걷는 단풍길","24","동대문구","하천변","중랑천 제방길 (군자교~청구교 부근)","왕벚나무, 느티나무","686","5.6","중랑천 제방 양방향으로 벚나무와 느티나무가 잘 어우러져 아름다운 단풍을 볼 수 있음","공원녹지과 (2127-4778)"
"물을 따라 걷는 단풍길","25","강북구","하천변","우이천변 제방 한신교 (신창교~월계교로)","버즘나무 등 15종","530","1.3","우이천 제방 산책로변 수목과 버즘나무 가로수가 어우러져 단풍과 낙엽이 아름답고 한적한 도로변으로 가을의 정취를 즐기기에 적합함","공원녹지과 (901-6944)"
"물을 따라 걷는 단풍길","26","도봉구","하천변","도봉 중랑천길 (도봉구청~창동중학교)","은행나무","176","0.8","중랑천공원으로 이어진 나무터널 사이로 운동과 산책을 하며 가을을 즐길 수 있음","공원여가과 (2091-3773)"
"물을 따라 걷는 단풍길","27","도봉구","하천변","우이천변길 (우이교~수유교)","왕벚나무","220","1.9","우이천과 함께 아름다운 왕벚나무 단풍을 볼 수 있음","공원여가과 (2091-3773)"
"물을 따라 걷는 단풍길","28","노원구","가로","당현천변길 (당현천변 당현1로~당현2로)","은행나무","146","0.6","당현천과 함께 아름다운 은행나무 단풍을 감상할 수 있음","정원도시과 (2116-3958)"
"물을 따라 걷는 단풍길","29","은평구","가로","불광천길","은행나무, 왕벚나무","144","1.22","불광천 경관과 더불어 은행나무와 왕벚나무의 아름다운 단풍을 감상할 수 있음","공원녹지과 (351-8013)"
"물을 따라 걷는 단풍길","30","서대문구","하천변","홍제천로 (연희어린이공원~서대문구)","은행나무, 벚나무","290","1.25","홍제천변을 따라 붉은색과 노란색의 아름다운 단풍을 볼 수 있음","푸른도시과 (330-1787)"
"물을 따라 걷는 단풍길","31","마포구","가로","성중길","메타세쿼이아","100","0.6","불광천 상부 도로변에 메타세쿼이아 등 일정 수목과 수형이 조화롭게 어우러져 가을의 아름다움을 느낄 수 있음","공원녹지과 (3153-9563)"
"물을 따라 걷는 단풍길","32","양천구(신규)","하천변","안양천제방길","왕벚나무","600","2","산책로 따라 조성된 가로수와 어우러진 단풍풍경이 아름다워, 봄철 벚꽃, 가을 단풍철에 매력적인 여가활동 및 감상을 동시에 즐길 수 있음","공원녹지과 (2620-3584)"
"물을 따라 걷는 단풍길","33","구로구/금천구/영등포구","하천변","안양천 산책로 (양평교~안양교)","단풍나무, 왕벚나무","2277","10.1","안양천을 따라 걷는 산책로로 길게 뻗은 왕벚나무 아래를 걸으며, 강변을 따라 아름다운 단풍을 감상할 수 있음. 도심 속 최적의 자연휴식공간으로 자전거도로로 정비되어 있는 대표적 여가장소임","구로구 녹색도시과 (860-2265), 금천구 공원녹지과 (2627-1673), 푸른도시과 (2670-3765)"
"물을 따라 걷는 단풍길","34","구로구","하천변","도림천길 (신정교~도림교)","벚나무, 느티나무","171","1","도림천 제방 산책로변 벚나무, 느티나무의 아름다운 단풍을 볼 수 있음","녹색도시과 (860-2265)"
"물을 따라 걷는 단풍길","35","금천구","가로","안양천로 (안양천교~시흥대로)","느티나무","200","0.6","수형이 아름답고 수목의 조화로 느티나무가 단풍터널을 형성하여 매우 아름다움","공원녹지과 (2627-1673)"
"물을 따라 걷는 단풍길","36","서초구/강남구","하천변","양재천 (영동2교~양재2교)","왕벚나무 등","738","2.8","가을 청취를 느낄 수 있는 물억새 등 초화류 50여종 30만본과 산책로변 왕벚나무가 터널을 이루어 가을 정취를 만끽할 수 있음","서초구 공원녹지과 (2155-6894), 강남구 공원녹지과 (3423-6252)"
"물을 따라 걷는 단풍길","37","송파구","하천변","성내천 (성내교~신천교)","왕벚나무","215","1","봄에는 벚꽃과 가을에는 억새와 갈대와 잘 어우러져 아름다운 단풍을 볼 수 있음","공원녹지과 (2147-3401)"
"물을 따라 걷는 단풍길","38","강동구","하천변","고덕천 (농구교~고덕교)","미루나무, 메타세쿼이아","124","0.6","고덕천변 따라 미루나무와 메타세쿼이아의 아름다운 단풍 감상할 수 있음","푸른도시과 (3425-6464)"
"물을 따라 걷는 단풍길","39","청계천","하천변","청계천로","이팝나무, 느티나무 등","560","2.8","이팝나무, 느티나무 단풍이 청계천의 야경과 어우러져 아름다움","청계천관리센터 (2290-6852)"
"공원과 함께 만나는 단풍길","40","성동구","가로","매봉길 (옥수동래미안금호산한이타입구)","벚나무","37","0.3","지하철역(금호역)과 도보 10분거리에 위치해 있으며, 아파트 대단지 뒷길로 주변 산책 통행이 많고, 응봉공원, 옥수산, 금호산과 연계되어 여유로운 벚나무를 느낄 수 있음","공원녹지과 (2286-5666)"
"공원과 함께 만나는 단풍길","41","중랑구","공원","봉수대공원","단풍나무 등","2000","4.2","봉화산은 160m의 작은 산으로 정상에는 봉수대가 있고 기슭에는 공원과 청도도서관 등이 있어 주민의 이용이 많고 주변에 배밭이 있어 열매를 볼 수 있는 아름다운 공원임","공원녹지과 (2094-2357)"
"공원과 함께 만나는 단풍길","42","은평구","등산로","봉산편백나무 치유의숲","편백나무","13400","1.5","서울에서 보기 드문 유일한 편백나무 숲으로 풍부한 피톤치드를 느끼며 가을 정취를 즐길 수 있음","공원녹지과 (351-8022)"
"공원과 함께 만나는 단풍길","43","마포구","공원","매봉산자락길","목백합, 단풍나무","1000","1.2","매봉산 자락길을 따라 걸으며 다양한 나무의 형형색색 단풍을 감상할 수 있고 한강, 월드컵공원, 상암동 전경을 한눈에 볼 수 있음","공원녹지과 (3153-9563)"
"공원과 함께 만나는 단풍길","44","양천구(신규)","등산로","용왕산 둘레길","느티나무, 단풍나무 등","520","2.5","경사가 완만한 데크길로 남녀노소 누구나 편하게 거닐며 숲 속 단풍길을 구경할 수 있음","공원녹지과 (2620-3590)"
"공원과 함께 만나는 단풍길","45","양천구(신규)","등산로","신정산 둘레길","느티나무, 단풍나무 등","650","2.7","경사가 완만한 데크길로 남녀노소 누구나 편하게 거닐며 숲 속 단풍길을 구경할 수 있음","공원녹지과 (2620-3578)"
"공원과 함께 만나는 단풍길","46","양천구(신규)","공원","달마을공원 산책로","느티나무, 단풍나무 등","60","0.55","산책로를 따라 아름다운 단풍길을 이루며 휴게공간이 조성되어 있어 벤치에 앉아 단풍을 즐기며 휴식을 취할 수 있음","공원녹지과 (2620-3579)"
"공원과 함께 만나는 단풍길","47","양천구(신규)","등산로","갈산공원 메타세쿼이아길","메타세쿼이아","150","0.4","산책로를 따라 아름다운 단풍길을 이루며 휴게공간이 조성되어 있어 산책뿐만 아니라 단풍을 즐기며 서 휴식을 취할 수 있음","공원녹지과 (2620-3578)"
"공원과 함께 만나는 단풍길","48","동작구","공원","현충원길 (효창지하차도~장승배기~현충원)","은행나무, 단풍나무","300","1","국립현충원 내로 은행나무와 단풍나무가 아름답게 어우러져 있으며, 호국지장, 대통령, 장군서열 묘역 등을 지나면서 애국심과 나라사랑 정신도 되새길 수 있음","공원녹지과 (820-9815)"
"공원과 함께 만나는 단풍길","49","동작구","공원","노량진공원길 (무궁해숲길)","참나무","200","0.4","노약자와 장애인 등 보행약자를 위한 무궁해숲길이 조성되어 있고, 무궁해숲길 주변으로 신갈나무 등 참나무 군락이 자라고 있어 가을철에 더욱 운치있음","공원녹지과 (820-9815)"
"공원과 함께 만나는 단풍길","50","동작구","공원","서달산길 (서달산 생태다리구간)","복자기나무","100","0.4","서달산길에는 새빨간 단풍이 화려한 복자기나무길이 있고, 주변에서는 다양한 새들을 볼 수 있는 피톤치드 체험장과 자연생태 학습지인 숲속유치원이 있음","공원녹지과 (820-9815)"
"공원과 함께 만나는 단풍길","51","서초구","공원","문화예술공원","메타세쿼이아","200","1.5","메타세쿼이아 군락과 낙엽이 쌓인 산책로를 걸으며 운치있는 분위기 속에 단풍을 감상할 수 있음","공원녹지과 (2155-6894)"
"공원과 함께 만나는 단풍길","52","송파구","공원","송파나루 근린공원 (석촌호수 공원)","왕벚나무 등 4종","1660","2.6","석촌호수와 조화를 이룬 아름다운 낙엽의 거리","공원녹지과 (2147-3391)"
"공원과 함께 만나는 단풍길","53","서울숲","공원","숲속길","은행나무, 느티나무 등","800","0.5","은행나무 600주 근락지에서 이색적 가을단풍과 산책로를 따라 심숨 숲의 기운을 느낄 수 있음","서울숲관리사무소 (460-2973)"
"공원과 함께 만나는 단풍길","54","서울숲","공원","바람의언덕","억새","800","0.6","바람에 일렁이는 억새의 소리를 느끼며 깊은 명상이 가능한 장소임","서울숲관리사무소 (460-2973)"
"공원과 함께 만나는 단풍길","55","매헌시민의숲","공원","단풍길","단풍나무","470","1","산림청 주관 2024 아름다운 도시숲 50선에 선정된 매헌시민의숲은 산책로를 따라 느티나무, 단풍나무 길을 걸으며 아름다운 단풍의 절정을 느낄 수 있음","매헌시민의숲 관리사무소 (575-3895)"
"공원과 함께 만나는 단풍길","56","남산공원","공원","북측순환로","왕벚나무, 단풍나무 등","500","3.5","차량 통행이 없는 보행자 전용 도로로 운동과 산책을 겸하며 가을 정취를 느낄 수 있음","중부공원여가센터 (3783-5944)"
"공원과 함께 만나는 단풍길","57","남산공원","공원","남측순환로","왕벚나무, 단풍나무 등","500","2.5","도심 속 숲속의 기운과 가을 단풍의 아름다움을 느낄 수 있음","중부공원여가센터 (3783-5944)"
"공원과 함께 만나는 단풍길","58","남산공원","공원","야외식물원내","은행나무, 왕벚나무 등","300","1","운동과 산책을 겸하며 공원내 다양한 수목의 가을단풍을 감상할 수 있음","중부공원여가센터 (3783-5944)"
"공원과 함께 만나는 단풍길","59","용산가족공원","공원","주차장 입구~작은 연못","은행나무, 왕벚나무 등","200","0.5","도심 속 분수, 연못과 어우러진 아름다운 가을 정취 감상할 수 있음","중부공원여가센터 (3783-5944)"
"공원과 함께 만나는 단풍길","60","월드컵공원","공원","희망의 숲 삼림욕길 (하늘공원 마타로길)","메타세쿼이아","500","1","코스모스 꽃길과 잔디광장으로 삼림욕과 마라톤을 하며 가을 정취를 느낄 수 있음","서부공원여가센터 (300-5545)"
"공원과 함께 만나는 단풍길","61","월드컵공원","공원","하늘공원 억새밭 길","억새","500","2.2","광활한 초지생태공원의 은빛 억새꽃에서 가을정취를 물씬 느낄 수 있음","서부공원여가센터 (300-5545)"
"공원과 함께 만나는 단풍길","62","보라매공원","공원","잔디광장 옆 산책길","느티나무, 버즘나무","100","0.5","느티나무와 버즘나무가 나란히 식재된 길을 따라 걷기 좋은 산책코스이며, 가족들과 도심 속 가을 피크닉 장소로 좋은 곳임","보라매공원 관리사무소 (2181-1174)"
"공원과 함께 만나는 단풍길","63","서울대공원","공원","낙엽의 거리 (하마교~남미관)","느티","320","0.9","느티나무가 병렬로 식재되어 단풍이 아름답고 낙엽 소리를 느끼며 걸을 수 있는 분위기의 공간임","조경과 (500-7521)"
"공원과 함께 만나는 단풍길","64","서울대공원","공원","동물원 둘레길 (동물원 숲속~동물원 외곽산책로~북문)","벚나무, 단풍, 참, 계수","2000","4.5","서울동물원 외곽산책도로로 달콤한 향기의 계수나무와 단풍, 느티, 벚나무 등 생태적으로 안정된 숲터널의 길로 단풍이 마음을 담고 아늑한 분위기가 느껴지는 10리길","조경과 (500-7521)"
"공원과 함께 만나는 단풍길","65","서울대공원","공원","호수카 둘레길 (청계 저수지 둘레길)","왕벚나무, 은행나무, 느티나무, 메타세쿼이아","800","2.8","청계저수지 호수카를 한바퀴 도는 산책길로 왕벚나무 등 다양한 나무의 단풍이 아름다우며 서울대공원만의 특색있는 교기리 열차운행도 볼 수 있음","조경과 (500-7521)"
"공원과 함께 만나는 단풍길","66","어린이대공원","공원","후문진입로 (이자차역~광진강당)","은행나무","200","0.6","공원 진입로 양쪽과 중앙화단에 열로 식재된 대형 은행나무가 매혹적인 단풍 경관을 연출함","어린이대공원 (450-9317)"
"공원과 함께 만나는 단풍길","67","어린이대공원","공원","순환산책로 (정문~동물공연장)","복자기","120","0.5","공원 순환 산책로 양측에 식재된 복자기 가로수의 단풍길이 사이로 운동과 산책을 즐기며 가을정취를 느낄 수 있음","어린이대공원 (450-9317)"
"산책길에서 만나는 단풍길","68","중구","가로","동호로 (동국대입구~장충단)","은행나무","389","1.2","2열 식재 된 은행나무와 화단의 관목이 조화를 이루고 있어 아름다운 단풍을 볼 수 있음","공원녹지과 (3396-5862)"
"산책길에서 만나는 단풍길","69","용산구","가로","소월길 (남산호텔~힐튼호텔)","은행나무","595","2.9","남산공원과 연계된 아름다운 은행나무 단풍 정취를 만끽할 수 있는 거리임","공원녹지과 (2199-7623)"
"산책길에서 만나는 단풍길","70","광진구","가로","능동로 (어린이대공원~건대입구사거리)","느티나무, 단풍나무 등","600","1.4","따녹지 조성노선이며 세종대 앞에서 올디자인 거리, 건대입구 단풍과 구남산노선으로 느티나무, 단풍나무가 병렬로 식재되어 단풍과 낙엽의 정취를 만끽할 수 있음","공원녹지과 (450-7792)"
"산책길에서 만나는 단풍길","71","광진구","가로","위카힐로 (아차산생태공원~위카힐호텔)","벚나무, 단풍나무 등","100","0.7","아차산생태공원에서 위카힐호텔로 진입하는 일방 사이에 조성된 노선으로 목재보도 보도이며 가로변 수목이 수관터널을 이루고 있어 아름다운 단풍을 볼 수 있음","공원녹지과 (450-7792)"
"산책길에서 만나는 단풍길","72","동대문구","가로","회기로 (국방연구원~정화대)","은행나무","300","1.1","걷고싶은거리로 지정되어 있고 아름다운 은행 단풍을 볼 수 있음","공원녹지과 (2127-4780)"
"산책길에서 만나는 단풍길","73","중랑구","가로","중랑캠핑장길 (양원역~망우리공원)","중국단풍","104","0.8","붉은색으로 물든 단풍이 아름답고 수형이 단정하며 인근에 중랑캠핑장이 있어 산책하기 좋은 가로임","공원녹지과 (2094-2383)"
"산책길에서 만나는 단풍길","74","성북구","가로","안암길 (성북구청~대광중학교)","은행나무","406","1.5","성북천 옆 보도를 따라 은행나무가 2열로 식재되어 있어 아름다운 단풍과 낙엽을 볼 수 있음","공원녹지과 (2241-3703)"
"산책길에서 만나는 단풍길","75","성북구","공원","개운산산책로 (생태체험관~파크메디허브)","칠엽수, 느티나무, 단풍나무 등","600","0.5","완만한 산책로 양옆으로 우거진 나무와 단풍이 어우러져 아름다우며, 아름다운 우수경관보호로 선정된 바 있음","공원녹지과 (2241-3703)"
"산책길에서 만나는 단풍길","76","강북구","가로","인수봉로 (현대산업~4.19기념관)","은행나무","500","1.6","주택가 주변의 조용한 도로로 은행나무의 단풍을 즐기기에 좋은 장소임","공원녹지과 (901-6944)"
"산책길에서 만나는 단풍길","77","강북구","가로","4.19길 (4.19사거리~아카데미하우스호텔 입구)","참나무류 등 10종","500","1.4","북한산 등산로 올라가는 가로변으로 가로변 은행나무의 단풍과 산과 주변의 낙엽, 식재목의 아름다움과 함께 자연의 단풍을 구경할 수 있는 노선","공원녹지과 (901-6944)"
"산책길에서 만나는 단풍길","78","도봉구","가로","해등로 (도봉문화정보센터~창동오거리)","느티나무, 은행나무","239","1","주택가 주변으로 은행나무와 느티나무의 단풍을 즐기기에 좋은 장소임","도시녹지과 (2091-3773)"
"산책길에서 만나는 단풍길","79","도봉구","가로","초안산공원길 (제일유치원~창1동치안센터~창동중학교)","느티나무","170","0.8","차량 통행이 적은 주택가로, 초안산과 어우러진 느티나무 단풍이 아름다운 장소이며, 최근 조성한 초안산생태공원과 연결됨","도시녹지과 (2091-3773)"
"산책길에서 만나는 단풍길","80","도봉구","가로","노해로 (송이패숲소~창동동 이마트)","은행나무","315","2","은행나무와 관목류가 어우러진 단풍과 낙엽이 아름다운 걷고싶은 거리임","도시녹지과 (2091-3773)"
"산책길에서 만나는 단풍길","81","도봉구","가로","마들로 (지운교~녹천교사거리)","은행나무","600","1.5","중랑천과 연결된 아름다운 길로 하천변 산책로와 함께 이용 가능한 은행나무 단풍길","도시녹지과 (2091-3773)"
"산책길에서 만나는 단풍길","82","노원구","가로","한글비석길 (양지근린공원~불암근린공원)","은행나무, 층층나무","300","1.2","은행나무와 층층나무가 2열로 식재되어 있으며 불암산 및 수락산 전경과 어우러져 경관이 아름다움","정원도시과 (2116-3958)"
"산책길에서 만나는 단풍길","83","노원구","가로","화랑로 (태릉입구~삼육대학교)","양벚나무","593","2.1","왕벚나무가 연출하는 터널경관이 아름다워 산책하기 좋음","정원도시과 (2116-3958)"
"산책길에서 만나는 단풍길","84","노원구","공원","상계근린공원 내 산책로","단풍나무, 양벚나무 등","1000","0.7","아파트 지역 공원으로 산책로변에 단풍나무, 양벚나무 등의 수목과 함께 배드민턴장, 숲속 작은도서관 등 시설이 어우러져 가을 정취를 느끼기에 적합함","정원도시과 (2116-3944)"
"산책길에서 만나는 단풍길","85","은평구","가로","진흥로 (불광역~구기터널)","은행나무, 왕벚나무, 공작단풍, 화살나무 등","320","1.5","아름다운 북한산 경관과 구기터널~불광역으로 이어지는 은행나무와 왕벚나무가 어우러진 아름다운 단풍, 그리고 그린웨이 조성사업으로 식재한 화살나무, 철쭉 등 단풍도 즐길 수 있음","공원녹지과 (351-8013)"
"산책길에서 만나는 단풍길","86","은평구","가로","증산로 (신사오~창천교)","왕벚나무","891","2.9","불광천 경관과 더불어 왕벚나무의 화려한 단풍을 감상할 수 있음","공원녹지과 (351-8013)"
"산책길에서 만나는 단풍길","87","은평구","가로","백련산로 (응암초교삼거리~응암2동주민센터)","중국단풍, 은행나무","135","0.9","재건축사업과 연계하여 특색있는 중국단풍과 거리로 조성된 노선으로 단풍이 아름다움","공원녹지과 (351-8013)"
"산책길에서 만나는 단풍길","88","서대문구","공원","안산 산책로","느티나무","450","1.5","안산도시자연공원 내 산책로로, 느티나무 터널을 이루는 듯한 아름다운 단풍 풍경을 감상하고 산책할 수 있음","푸른도시과 (330-1787)"
"산책길에서 만나는 단풍길","89","마포구","가로","월드컵로 (월드컵경기장~구룡삼거리)","느티나무","772","2","월드컵경기장에서 구룡삼거리 구간으로 이어지는 도로로, 아파트, 공원, 매봉산앞에 위치하여 가을, 초겨울에 아름다운 단풍 및 두툼한 낙엽을 즐길 수 있는 거리임","공원녹지과 (3153-9572)"
"산책길에서 만나는 단풍길","90","양천구","가로","목동9단지 사이길 (목동9단지 912동~남부지방법원)","느티나무","111","0.5","신월길지하차도거리와 연속되어 아파트 밀집지역에 위치한 터널형으로 느티나무 단풍이 아름다움","공원녹지과 (2620-3585)"
"산책길에서 만나는 단풍길","91","강서구","공원","우장근린공원내 산책로","버즘나무, 왕벚나무, 은행나무","3000","2.2","우장근린공원은 염창산과 경서산 2개봉으로 형성된 공원으로 산책로변에 왕벚나무, 버즘나무 등의 수목과 각종 체육시설과 휴게시설이 복합적으로 시석되어 있어 주민들의 여가선영에 적합한 지역임","공원녹지과 (2600-4185)"
"산책길에서 만나는 단풍길","92","강서구","공원","방화근린공원내 산책로","은행나무, 느티나무, 왕벚나무","2500","1","방화근린공원은 분수대, 정자, 운동시설 등이 설치되어 있으며 가을에는 개화산과 함께 근린공원의 감색과 있어 산책과 휴식, 운동 등을 함께 할 수 있는 공원임","공원녹지과 (2600-4186)"
"산책길에서 만나는 단풍길","93","강서구","공원","공암나루 근린공원내 산책로","메타세쿼이아","340","0.8","6m넓이의 아름드리 메타세쿼이아, 느티나무가 산책로를 따라 2열씩 식재된 곳으로 이국적인 정취를 자랑하며 산책로를 거닐며 사색과 휴식을 즐길 수 있는 공원내 산책로임","공원녹지과 (2600-4186)"
"산책길에서 만나는 단풍길","94","강서구","공원","서남환경공원내 산책로","메타세쿼이아","400","0.6","방화동 서남환경센터내 서남환경공원은 아름다운 단풍과 함께 각종 휴식시설, 편의시설, 운동시설 등이 설치되어 있어 가을 정취를 느끼기에 적합한 지역임","공원녹지과 (2600-4165)"
"산책길에서 만나는 단풍길","95","강서구","가로","화곡로 (강서경찰서~화곡역)","메타세쿼이아","278","1.3","강서구청 사거리부터 화곡역까지 대경목의 메타세쿼이아가 식재되어 있어 가을의 아름다운 단풍을 느낄 수 있으며, 또한 가로수상단에 따뜻빛이 환산나무, 공작단풍, 철쭉목 등이 함께 식재되어 있어 다음시철의 단풍을 감상할 수 있는 볼거리가 다채로운 거리임","공원녹지과 (2600-4188)"
"산책길에서 만나는 단풍길","96","강서구","가로","등양초교 앞길 (가양역양천로출구~대동초등학교)","은행나무, 단풍나무, 느티나무","932","1.3","주요 간선도로인 양천로의 이면도로로, 노선에 식재된 은행나무, 단풍나무 및 느티나무가 하늘을 뒤덮어 울음이 질리며, 단풍이 물들 때마다 산책을 즐기며 걷고 싶은 숲길로 각광받음","공원녹지과 (2600-4190)"
"산책길에서 만나는 단풍길","97","구로구","공원","매봉산 자락길","참나무 등","800","0.8","매봉산 무장애길로 조성되어 있으며 기존 자연환경과 어우러져 사계절 꽃과 단풍을 즐길 수 있음","녹색도시과 (860-2396)"
"산책길에서 만나는 단풍길","98","금천구","등산로","호암사길","단풍나무, 버즘나무, 벚나무","200","0.6","호암사로 올라가는 산책로로 여러 가지 수종의 단풍이 고루 있어 가을의 정취를 느낄 수 있음","공원녹지과 (2627-1673)"
"산책길에서 만나는 단풍길","99","금천구","가로","벚꽃로 (가산디지털단지역~금천구청)","왕벚나무","642","2.5","'벚꽃길'길로 긴 노선에 걸쳐 왕벚나무 단풍을 감상할 수 있음","공원녹지과 (2627-1673)"
