가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
양금로,36.107561,128.121196,36.098419,128.117377,은행,193,1.06,,양금폭포에서 하로길입구에 조성된 은행나무길로 가을의 정취를 느낄 수 있는 가로수길임,,,양금폭포~하로길입구,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
양금로,36.097958,128.117521,36.095369,128.111313,은행+시다,48,0.661,,하로길에 형성된 가로수길로 은행나무로부터 시작해 히말라야시다로 이어져 쾌적한 도시경관을 형성함,,,하로길,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
아포대로,36.154795,128.274796,36.152745,128.278948,왕벚,276,0.434,,아포~구미간(군도19호)까지 조성된 벚나무길로 봄철 아름다운 경관을 제공함,,,아포~구미간(군도19호),054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
아포대로,36.160145,128.252158,36.164037,128.247389,왕벚,186,2.25,,아포택지지구에 조성된 왕벚나무길로 봄철 아름다운 가로수길을 형성함,,,아포택지지구,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
아포대로,36.115705,128.154858,36.127165,128.172553,은행,166,3.15,,무실삼거리에서 농소신촌으로 이어진 은행나무길로 가을철 아름다운 황금빛 경관을 형성함,,,무실삼거리~농소신촌,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
신음새동네길,36.134443,128.117657,36.132704,128.122108,이팝,128,0.457,,신음택지지구에 조성된 이팝나무 가로수가 쾌적한 가로경관을 형성함,,,신음택지지구,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
시청로,36.136383,128.115956,36.137249,128.116028,이팝,28,0.216,,휴먼시아진입도로에 조성된 이팝나무 가로수가 쾌적한 도시공간을 형성함,,,휴먼시아진입도로,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
시청로,36.128612,128.118198,36.156922,128.116783,이팝,508,3.63,,직지교에서 어모경계까지의 이팝나무 가로수가 쾌적한 가로경관을 형성함,,,직지교~어모경계,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
시청길,36.138061,128.114045,36.140261,128.115095,은행,303,0.92,,시청주변도로에 형성된 은행나무길로 가을철 아름다운 경관을 제공함,,,시청주변도로,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
시민로,36.124696,128.104847,36.129787,128.100698,삼색버드나무,69,0.705,,시민탑에서 교동교까지 이어진 삼색버드나무 길로 많은 시민들이 관심과 애정을 가지는 길임,,,시민탑~교동교,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
송설로,36.124696,128.104847,36.124311,128.085562,왕벚+이팝+삼색버드나무,330,1.72,,"시민탑에서 대곡삼거리로 이어진 가로수 길로 왕벚, 이팝, 삼색버드나무가 적절히 조화돼  쾌적한 가로 경관을 제공함",,,시민탑~대곡삼거리,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
삼산2길,36.031145,128.128097,36.028171,128.127619,왕벚,200,0.411,,유산 마을 진입로에 조성된 벚나무길로 봄철 많은 시민들이 찾는 아름다운 벚나무 명소임,,,유산 마을 진입로,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
삼산1길,36.042767,128.123224,36.029063,128.130241,왕벚,514,2.25,,조마삼산리에 조성된 벚나무길로 봄철 많은 시민들이 찾는 아름다운 벚나무 명소임,,,조마삼산리,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
사등4길,36.006632,127.938813,36.029035,127.955741,왕벚,850,3.38,,파천1리~안간리에 심어진 벚나무들이 쾌적한 도로 환경을 조성함,,,파천1리~안간리,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
사등3길,36.028182,127.947505,36.029035,127.955741,왕벚,218,0.908,,부항 안간리에 심어진 벚나무들이 쾌적한 도로 환경을 조성함,,,부항 안간리,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
부항댐,35.978559,128.014031,35.978664,127.979532,왕벚,165,3.3,,댐진입도로에 조성된 왕벚나무길로 봄철 아름다운 경관을 형성함,,,댐진입도로,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
자산로,36.125668,128.117981,36.129704,128.118253,시다,55,0.434,,김천여중에서 직지교로 이어진 히말라야시다 가로수가 쾌적한 가로경관을 제공함,,,김천여중~직지교,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
자산로,36.121611,128.118701,36.125668,128.117981,은행,66,0.457,,성남교에서 김천여중으로 이어진 은행나무길로 아름다운 가로경관을 제공함,,,성남교~김천여중,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
자산로,36.118785,128.126325,36.124834,128.130291,은행,27,0.316,,용암사거리에서 김천교로 이어진 은행나무길로 아름다운 가로경관을 제공함,,,용암사거리~김천교,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
자산로,36.118785,128.126325,36.121611,128.118701,은행+시다,159,0.814,,용암사거리에서 성남교로 이어진 은행나무와 히말라야시다가 쾌적한 가로경관을 형성함,,,용암사거리~성남교,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
용호로,36.039857,128.103894,36.043063,128.117955,왕벚,344,1.41,,조마강곡리에 형성된 왕벚나무길로 봄철 아름다운 가로경관을 제공함,,,조마강곡리,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
용암로,36.119673,128.127424,36.118785,128.126325,은행+삼색버드나무,47,0.16,,"용암사거리에서 칠칠주유소로 이어진 은행, 삼색버드나무가 아름다운 가로경관을 제공함",,,용암사거리~칠칠주유소,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
오봉로,36.123898,128.236221,36.157015,128.225001,배롱,800,5.51,,오봉저수지에서 아포 봉삼삼거리로 이어진 배롱나무길로 2015년에 조성되어 아름다운 꽃길을 제공함,,,오봉저수지~아포 봉삼삼거리,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
오봉로,36.125872,128.229929,36.096735,128.258338,왕벚,199,4.62,,남면 오봉리에 형성된 왕벚나무길로 봄철 많은 사람들이 찾는 벚꽃길임,,,남면 오봉리,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
예지송정길,36.142996,128.061554,36.144805,128.060081,은행,21,0.574,,봉산문화마을에 형성된 은행나무 길로 마을에 아름다운 은행나무 경관을 제공함,,,봉산문화마을,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.124639,128.085014,36.127835,128.095297,은행,97,1.29,,대곡삼거리에서 고속도로IC로 이어진 은행나무길로 쾌적한 도시환경을 형성함,,,대곡삼거리~고속도로IC,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.128571,128.067141,36.118838,128.147151,왕벚,396,5.59,,담배인삼공사에서 덕천네거리로 이어진 왕벚나무길로 봄철 아름다운 경관을 제공함,,,담배인삼공사~덕천네거리,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.183418,128.013253,36.138101,128.029005,배롱,414,3.58,,전북무주 경계까지 경상북도화인 배롱나무를 식재하여 여름철 아름다운 꽃길 제공,,,신암~태화,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.171543,128.013248,36.183418,128.013253,배롱,416,2.04,,전북무주 경계까지 경상북도화인 배롱나무를 식재하여 여름철 아름다운 꽃길 제공,,,가성~신암,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.206721,128.005334,36.211007,127.995556,배롱,178,1.7,,전북무주 경계까지 경상북도화인 배롱나무를 식재하여 여름철 아름다운 꽃길 제공,,,시목~봉명,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.180847,128.011019,36.186321,128.010346,배롱,442,1.74,,전북무주 경계까지 경상북도화인 배롱나무를 식재하여 여름철 아름다운 꽃길 제공,,,신기~광천교,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.207079,128.004691,36.180847,128.011019,배롱,361,3.19,,전북무주 경계까지 경상북도화인 배롱나무를 식재하여 여름철 아름다운 꽃길 제공,,,국도분기~신기,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.124639,128.085014,36.128571,128.067141,왕벚,250,1.96,,대곡삼거리에서 담배인삼공사로 이어진 왕벚나무길로 봄철 아름다운 경관을 형성함,,,대곡삼거리~담배인삼공사,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.199161,128.007578,36.207079,128.004691,배롱,402,3.5,,도계에서 국도분기로 이어진 배롱나무길로 여름철 개화시기에 아름다운 꽃길을 형성함,,,도계~국도분기,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.174386,128.015584,36.199161,128.007578,배롱,402,3.3,,곤천입구에서 도계로 이어진 배롱나무길로 여름철 개화시기에 아름다운 꽃길을 형성함,,,곤천입구~도계,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.186321,128.010346,36.180847,128.011019,배롱,416,8.51,,광천교에서 신기로 이어진 배롱나무길로 여름철 개화시기에 아름다운 꽃길을 형성함,,,광천교~신기,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.134373,128.035471,36.162242,128.021387,왕벚,358,2.72,,덕천네거리에서 봉산태화로 이어진 왕벚나무길로 봄철 아름다운 경관을 제공함,,,덕천네거리~봉산태화,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.118838,128.147151,36.113525,128.159557,중국단풍,238,1.26,,덕곡동에 조성된 중국단풍 가로수길로 쾌적한 가로경관을 조성함,,,덕곡동,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.129704,128.118253,36.126956,128.124741,이팝,139,1.19,,직지교에서 평화가도교로 이어진 이팝나무 가로수가 쾌적한 가로환경을 형성함,,,직지교~평화가도교,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.126956,128.124741,36.129787,128.100698,왕벚,125,2.9,,평화가도교에서 교동교로 이어진 왕벚나무길로 아름다운 봄의 경관을 느낄 수 있음,,,평화가도교~교동교,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.129787,128.100698,36.127835,128.095297,왕벚,134,1.63,,교동교에서 고속도로IC로 이어진 왕벚나무길로 아름다운 봄의 정취를 느낄 수 있음,,,교동교~고속도로IC,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.118361,128.144281,36.115709,128.154761,이팝,167,1.05,,교도소에서 무실삼거리로 이어진 이팝나무길로 쾌적한 도로환경을 조성함,,,교도소~무실삼거리,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
황악로,36.133791,128.034874,36.129512,128.024264,은행+왕벚,149,1.1,,"직지농협에서 복전터널로 이어진 은행, 왕벚나무길로 많은 관광객들이 지나는 아름다운 가로수길임",,,직지농협~복전터널,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
황악로,36.129512,128.024264,36.114199,128.016738,은행+왕벚,375,2.92,,"복전터널에서 주차장으로 이어진 은행, 왕벚나무길로 많은 관광객들이 지나는 아름다운 가로수길임",,,복전터널~주차장,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
황산로,36.124834,128.130291,36.118361,128.144281,시다,170,13.6,,김천교에서 교도소로 이어진 히말라야시다가 쾌적한 가로경관을 형성함,,,김천교~교도소,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
환경로,36.125061,128.129687,36.130271,128.135658,은행+시다,161,3.63,,"선산통로사거리에서 공단입구로 이어진 은행나무, 히말라야시다가 아름다운 가로경관을 제공함",,,선산통로사거리~공단입구,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
혁신도시 진입로,36.128994,128.180435,36.103591,128.183444,느티,256,8.82,,2012년에 혁신도시에서 입석교차로간도로에 조성한 느티나무가로수로 쾌적한 도로환경을 형성함,,,혁신도시~입석교차로간도로,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
한지3길,36.158986,128.259174,36.156989,128.266417,느티,65,0.691,,아포택지지구에 형성된 느티나무 가로수가 쾌적한 가로경관을 형성함,,,아포택지지구,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
직지사길,36.114199,128.016738,36.115207,128.003659,이팝,60,0.356,,주차장에서 직지사로 이어진 이팝나무 가로수가 쾌적한 가로경관을 형성함,,,주차장~직지사,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
증산로,35.901479,128.035306,35.890096,128.003984,왕벚,319,3.39,,면사무소에서 청암사로 이어진 완벚나무길로 주민들이 좋아하는 벚나무길임,,,면사무소~청암사,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
증산로,35.917792,127.978105,35.899308,127.996002,은행,452,4.75,,대덕 추량리에서 수도산자연휴양림까지 아름드리 은행나무 가로수길 조성,,,대덕 추량리,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
조각공원길,36.131086,128.122497,36.126974,128.130505,느티,42,0.274,,그린빌아파트에서 속구미로 이어진 느티나무길로 많은 시민들이 이용하는 산책길임,,,그린빌아파트~속구미,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
혁신도시 혁신로,36.121184,128.187801,36.120618,128.195016,이팝,2667,1.8,,"혁신로(LH 1,2공구)에 2016년에 조성한 이팝나무길로 쾌적한 도시환경을 제공함",,,"혁신로(LH 1,2공구)",054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
지방도913호,36.175772,128.159998,36.153733,128.150368,왕벚,365,2.86,,어모다남리에서 개룡 신룡리로 이어진 왕벚나무길로 봄철 아름다운 경관을 제공하는 명소임,,,어모다남리~개룡 신룡리,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
아포작동길,36.165446,128.220427,36.169704,128.219549,배롱,140,1.4,,아포작동길에 조성된 배롱나무길로 아름다운 경관을 제공함,,,아포작동길,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
강변조각공원길,36.126956,128.124741,36.131714,128.081891,왕벚,520,5.05,,평화가도교에서 다삼교로 이어진 왕벚나무길로 봄철 아름다운 경관을 형성함,,,평화가도교~다삼교,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.090376,128.242455,36.081663,128.250762,왕벚,200,28.67,,송곡교차로에서 마곡교차로로 이어진 왕벚나무길로 봄철 아름다운 경관을 형성함,,,송곡교차로~마곡교차로,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.109338,128.172036,36.090376,128.242455,왕벚,950,2.09,,월곡교차로에서 송곡교차로로 이어진 왕벚나무길로 봄철 아름다운 경관을 형성함,,,월곡교차로~송곡교차로,054-420-6314,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
속구미2길,36.139898,128.113649,36.139898,128.113649,왕벚,243,1.701,,신음그린빌에서 속구미간으로 이어진 왕벚나무길로 쾌적한 도시환경을 제공함,,,신음그린빌~속구미간,054-420-6757,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
영남대로,36.139898,128.113649,36.139898,128.113649,이팝,45,0.315,,무실삼거리에서 무실7길입구로 이어진 이팝나무길로 쾌적한 도시환경을 제공함,,,무실삼거리~무실7길입구,054-420-6757,경상북도 김천시청,2026-05-26,5060000,경상북도 김천시
